FID,DAUID,PBTRAN,population
0,47110079,10,643
1,47110080,25,537
2,47110081,10,547
3,47110082,20,516
4,47110083,25,564
5,47110084,45,513
6,47110182,15,603
7,47110183,0,484
8,47110184,15,467
9,47110185,0,696
10,47110186,0,435
11,47110187,25,585
12,47110188,15,640
13,47110189,15,604
14,47110054,30,453
15,47110055,15,516
16,47110056,20,471
17,47110057,10,532
18,47110058,35,548
19,47110059,30,616
20,47110060,30,473
21,47110061,40,455
22,47110062,40,709
23,47110063,25,406
24,47110064,20,495
25,47110065,50,494
26,47110066,0,687
27,47110067,0,257
28,47110558,25,546
29,47110559,25,580
30,47110085,25,426
31,47110086,30,512
32,47110087,10,486
33,47110088,20,548
34,47110089,10,466
35,47110090,10,424
36,47110091,65,850
37,47110092,10,603
38,47110093,45,443
39,47110094,30,625
40,47110095,25,562
41,47110096,0,401
42,47110097,10,475
43,47110098,15,445
44,47110190,10,634
45,47110191,35,665
46,47110193,0,283
47,47110194,100,6747
48,47110287,0,295
49,47110288,0,471
50,47110290,0,506
51,47110291,15,500
52,47110292,10,472
53,47110293,10,705
54,47110295,0,594
55,47110296,30,693
56,47110297,20,423
57,47110299,10,330
58,47110021,0,741
59,47110022,10,345
60,47110699,15,1158
61,47110535,15,471
62,47110536,25,461
63,47110537,10,466
64,47110538,0,547
65,47110539,60,540
66,47110540,0,524
67,47110541,10,458
68,47110518,0,361
69,47110519,10,358
70,47110520,0,504
71,47110521,0,493
72,47110522,0,390
73,47110523,20,560
74,47110027,0,562
75,47110028,10,401
76,47110029,10,385
77,47110030,10,628
78,47110031,25,502
79,47110032,0,248
80,47110033,10,445
81,47110035,10,449
82,47110038,10,846
83,47110039,0,775
84,47110040,0,247
85,47110041,20,612
86,47110042,20,693
87,47110043,0,291
88,47110044,0,352
89,47110046,0,304
90,47110047,10,578
91,47110048,10,498
92,47110049,10,506
93,47110050,0,454
94,47110051,0,548
95,47110052,10,428
96,47110053,15,526
97,47110542,15,466
98,47110543,25,441
99,47110544,15,466
100,47110545,25,499
101,47110546,10,452
102,47110547,15,432
103,47110548,0,427
104,47110549,10,376
105,47110550,10,347
106,47110551,10,352
107,47110552,0,449
108,47110553,0,489
109,47110554,25,677
110,47110555,10,305
111,47110556,75,975
112,47110557,35,519
113,47110560,25,433
114,47110561,25,419
115,47110562,30,533
116,47110563,20,580
117,47110564,40,623
118,47110565,10,461
119,47110566,30,410
120,47110567,20,369
121,47110568,10,407
122,47110569,15,415
123,47110570,15,527
124,47110571,20,553
125,47110572,15,525
126,47110573,20,515
127,47110574,15,500
128,47110575,10,538
129,47110576,25,1146
130,47110577,0,477
131,47110579,10,459
132,47110581,70,2055
133,47110300,10,482
134,47110301,20,406
135,47110045,55,621
136,47110068,10,375
137,47110069,15,471
138,47110070,10,550
139,47110074,20,681
140,47110075,10,472
141,47110076,30,515
142,47110077,15,651
143,47110078,15,429
144,47110302,10,397
145,47110303,10,486
146,47110304,0,358
147,47110305,0,457
148,47110306,25,1152
149,47110307,15,545
150,47110308,15,589
151,47110309,10,606
152,47110310,30,778
153,47110311,15,650
154,47110313,40,847
155,47110314,10,783
156,47110315,15,1035
157,47110316,0,265
158,47110317,0,305
159,47110318,0,582
160,47110319,0,228
161,47110323,20,635
162,47110324,10,531
163,47110325,10,580
164,47110506,15,1975
165,47110507,0,675
166,47110508,20,1129
167,47110509,0,720
168,47110510,15,473
169,47110511,0,416
170,47110512,30,1080
171,47110513,0,466
172,47110514,0,336
173,47110515,15,452
174,47110516,20,268
175,47110517,10,513
176,47110127,10,470
177,47110128,10,521
178,47110129,45,632
179,47110130,30,917
180,47110131,0,285
181,47110132,15,937
182,47110133,0,264
183,47110473,25,410
184,47110474,55,556
185,47110475,15,893
186,47110439,35,701
187,47110440,15,687
188,47110441,10,374
189,47110442,25,807
190,47110443,15,373
191,47110444,0,630
192,47110445,20,552
193,47110446,10,478
194,47110447,20,483
195,47110448,10,632
196,47110449,30,683
197,47110450,30,785
198,47110451,45,1223
199,47110452,45,727
200,47110453,15,508
201,47110455,80,1441
202,47110456,60,1328
203,47110457,25,1292
204,47110691,0,518
205,47110689,0,42
206,47110694,10,586
207,47110134,30,1128
208,47110143,15,296
209,47110170,30,422
210,47110179,15,596
211,47110180,10,509
212,47110181,25,502
213,47110144,35,776
214,47110145,10,499
215,47110146,10,384
216,47110099,15,492
217,47110100,20,665
218,47110101,15,513
219,47110102,50,690
220,47110103,0,487
221,47110104,10,480
222,47110105,15,661
223,47110106,20,467
224,47110107,0,10
225,47110108,40,872
226,47110109,20,690
227,47110110,10,555
228,47110111,15,483
229,47110112,75,1036
230,47110113,0,253
231,47110114,0,298
232,47110116,15,426
233,47110123,50,877
234,47110126,10,394
235,47110147,20,712
236,47110148,10,606
237,47110149,0,422
238,47110151,20,495
239,47110152,15,387
240,47110153,25,577
241,47110154,10,325
242,47110155,15,307
243,47110157,10,743
244,47110160,20,681
245,47110161,20,578
246,47110162,0,305
247,47110163,15,571
248,47110164,20,473
249,47110165,10,423
250,47110166,0,266
251,47110167,0,377
252,47110168,10,406
253,47110169,0,570
254,47110410,0,248
255,47110411,0,374
256,47110412,0,257
257,47110413,15,495
258,47110434,45,962
259,47110435,15,235
260,47110436,20,538
261,47110460,20,1080
262,47110461,40,1800
263,47110463,25,879
264,47110466,0,546
265,47110467,20,544
266,47110468,30,935
267,47110469,85,726
268,47110470,15,1339
269,47110471,25,1229
270,47110472,55,868
271,47110524,85,5142
272,47110531,10,424
273,47110532,25,520
274,47110533,10,449
275,47110534,15,507
276,47110651,30,602
277,47110652,45,607
278,47110654,80,8036
279,47110655,10,515
280,47110656,10,485
281,47110657,25,1263
282,47110658,25,1246
283,47110659,15,763
284,47110660,0,720
285,47110661,10,570
286,47110662,10,983
287,47110663,10,889
288,47110326,10,267
289,47110327,10,812
290,47110328,15,960
291,47110329,0,567
292,47110330,0,463
293,47110331,10,526
294,47110338,15,989
295,47110339,0,435
296,47110340,25,695
297,47110341,15,954
298,47110342,10,319
299,47110343,10,276
300,47110344,10,910
301,47110347,0,298
302,47110348,20,651
303,47110349,0,279
304,47110350,15,374
305,47110351,10,329
306,47110353,0,396
307,47110354,15,871
308,47110355,35,719
309,47110356,30,1049
310,47110357,20,560
311,47110358,35,725
312,47110359,10,423
313,47110387,20,602
314,47110388,10,503
315,47110362,10,330
316,47110363,40,1262
317,47110365,10,449
318,47110367,15,354
319,47110368,10,367
320,47110369,45,709
321,47110370,10,512
322,47110371,20,990
323,47110372,10,514
324,47110373,0,478
325,47110374,135,5226
326,47110375,10,427
327,47110376,10,469
328,47110377,10,525
329,47110378,10,544
330,47110379,0,809
331,47110380,10,525
332,47110381,0,459
333,47110382,0,558
334,47110383,15,534
335,47110384,10,586
336,47110385,0,452
337,47110386,10,605
338,47110389,20,520
339,47110390,10,476
340,47110391,15,403
341,47110392,0,339
342,47110394,0,385
343,47110395,0,516
344,47110396,20,465
345,47110397,0,52
346,47110401,85,5020
347,47110402,0,756
348,47110403,0,465
349,47110404,10,511
350,47110405,0,484
351,47110406,10,457
352,47110407,10,467
353,47110408,25,269
354,47110409,10,271
355,47110664,40,5684
356,47110665,0,447
357,47110666,0,1244
358,47110667,0,171
359,47110668,10,1409
360,47110669,10,1459
361,47110670,130,6381